,CityName,CropName,Today's FQP/Average Price,Yesterday's FQP/Average Price,Change in Price
0,Lahore,Brinjal,6050,6450,-400
1,Lahore,Cauliflower,4600,4100,500
2,Lahore,Cucumber (Kheera),4600,4100,500
3,Lahore,Watermelon,5100,5550,-450
4,Lahore,Green Chilli,9750,10250,-500
5,Faisalabad,Onion,5750,5200,550
6,Faisalabad,Tomato,7200,6750,450
7,Faisalabad,Spinach,2650,2500,150
8,Faisalabad,Lady Finger/Okra (بھنڈی توری),18500,19500,-1000
9,Faisalabad,Garlic (Local),14500,17500,-3000
10,Faisalabad,Cucumber (Kheera),4750,3800,950
11,Faisalabad,Melon,8600,8750,-150
12,Faisalabad,Turmeric Whole(ثابت ہلدی),8550,8750,-200
13,Faisalabad,Tindian,5750,6050,-300
14,Gujranwala,Onion,6250,5300,950
15,Gujranwala,Bitter Gourd (کریلا),15900,15800,100
16,Gujranwala,Cauliflower,4800,4600,200
17,Gujranwala,Peas,9300,8150,1150
18,Gujranwala,Cucumber (Kheera),5100,4500,600
19,Gujranwala,Fenugreek(میتھی),5900,5300,600
20,Okara,Mash Pulse(Imported) washed,39750,41750,-2000
21,Okara,Maize,8350,8395,-45
22,Okara,Potato Fresh,1175,1100,75
23,Okara,Onion,5750,5250,500
24,Okara,Bitter Gourd (کریلا),13750,14750,-1000
25,Okara,Carrot,2750,3250,-500
26,Okara,Banana(DOZEN),218,225,-7
27,Okara,Bottle Gourd (کدو),7250,7750,-500
28,Okara,sugarcane(گنڈ یری),11750,9750,2000
29,Sargodha,Onion,5750,5150,600
30,Sargodha,Tomato,7150,6750,400
31,Sargodha,Cauliflower,4750,4400,350
32,Sargodha,Garlic (Local),14500,17500,-3000
33,Sargodha,Cucumber (Kheera),4250,3800,450
34,Sargodha,Green Chilli,7750,7250,500
35,Rawalpindi,Onion,7950,6150,1800
36,Rawalpindi,Tomato,7950,7050,900
37,Rawalpindi,Brinjal,6350,6600,-250
